ID,City,Latitude,Longitude,Country,State
5993072,Kitimat,54.05244,-128.65342,CA,2
5994339,Kugluktuk,67.82743,-115.09649,CA,14
5994763,Labelle,46.28339,-74.73255,CA,10
5994839,Labrador City,52.94626,-66.91137,CA,5
5994861,Labrieville,49.30009,-69.56294,CA,10
5994866,La Broquerie,49.51688,-96.50029,CA,3
5996666,Lac-Alouette,45.81698,-73.9592,CA,10
6002133,Lac-Brome,45.21678,-72.51581,CA,10
6005297,Lac-Connelly,45.89788,-73.9723,CA,10
6014443,Lac du Bonnet,50.2536,-96.06116,CA,3
6024829,Lachute,45.65008,-74.33253,CA,10
6028050,Lac La Biche,54.7669,-111.96861,CA,1
6028783,Lac-Lapierre,45.89837,-73.77308,CA,10
6032673,Lac-Mégantic,45.58338,-70.88234,CA,10
6035592,Lacolle,45.08338,-73.36585,CA,10
6035615,Lacombe,52.46681,-113.7353,CA,1
6035664,La Conception,46.15009,-74.69925,CA,10
6042689,Lac-Simon,46.15699,-74.74129,CA,10
6047817,Ladysmith,48.99016,-123.81699,CA,2
6048316,Lake Cowichan,48.82495,-124.05461,CA,2
6048347,Lake Echo,44.73345,-63.38198,CA,7
6048370,Lakefield,44.43342,-78.26623,CA,8
6049024,Lambton Shores,43.16678,-81.93309,CA,8
6049035,La Minerve,46.25009,-74.93257,CA,10
6049046,Lamont,53.76686,-112.80195,CA,1
6049255,Landmark,49.67169,-96.82232,CA,3
6049379,Langenburg,50.84999,-101.71763,CA,11
6049388,Langford,48.44963,-123.50261,CA,2
6049403,Langham,52.3668,-106.96793,CA,11
6049429,Langley,49.10107,-122.65883,CA,2
6049515,Lanigan,51.85006,-105.03443,CA,11
6049537,Lanoraie,45.96677,-73.21585,CA,10
6049634,Lantz,44.98345,-63.48199,CA,7
6049858,Lappe,48.5668,-89.35013,CA,8
6049863,La Prairie,45.41678,-73.49917,CA,10
6050066,La Ronge,55.10013,-105.28422,CA,11
6050194,La Sarre,48.80019,-79.19964,CA,10
6050216,L'Ascension-de-Notre-Seigneur,48.68339,-71.6658,CA,10
6050218,La Scie,49.94995,-55.59811,CA,5
6050263,L'Assomption,45.82318,-73.4294,CA,10
6050416,La Tuque,47.43337,-72.7824,CA,10
6050539,Laurentides,47.13336,-72.28239,CA,10
6050610,Laval,45.56995,-73.692,CA,10
6050650,Lavaltrie,45.88338,-73.28245,CA,10
6051122,Leamington,42.05009,-82.59981,CA,8
6051264,Lebel-sur-Quévillon,49.05018,-76.98273,CA,10
6051272,Leblanc,48.26683,-74.34914,CA,10
6051562,Leduc,53.26682,-113.55201,CA,1
6052583,L'Épiphanie,45.85008,-73.48246,CA,10
6052773,Les Cèdres,45.31009,-74.05926,CA,10
6052788,Les Coteaux,45.28338,-74.23254,CA,10
6053154,Lethbridge,49.69999,-112.81856,CA,1
6053446,Lewisporte,49.24343,-55.06196,CA,5
6053877,L'Île-Perrot,45.38338,-73.9492,CA,10
6054238,Limoges,45.3334,-75.24931,CA,8
6054258,Lincoln,45.90012,-66.58218,CA,4
6054350,Lindsay,44.35012,-78.73286,CA,8
6054474,Linière,46.00007,-70.41572,CA,10
6054551,Linwood,43.58171,-80.72815,CA,8
6054578,Lions Bay,49.45218,-123.2376,CA,2
6054677,Listowel,43.7334,-80.94973,CA,8
6055388,Little Current,45.97927,-81.9248,CA,8
6057842,Lively,46.43338,-81.14975,CA,8
6058024,Lloydminster,53.27237,-110.02256,CA,1
6058415,Logan Lake,50.49225,-120.8149,CA,2
6058560,London,42.98339,-81.23304,CA,8
6059891,Longueuil,45.53121,-73.51806,CA,10
6060325,Lorette,49.73919,-96.87232,CA,3
6060407,Lorraine,45.68338,-73.78249,CA,10
6060697,Lotbinière,46.61675,-71.93239,CA,10
6060839,Louiseville,46.25594,-72.94145,CA,10
6061745,Lucan,43.18339,-81.39976,CA,8
6061958,Lumby,50.24979,-118.96904,CA,2
6061979,Lumsden,50.65009,-104.86783,CA,11
6062069,Lunenburg,44.37847,-64.31658,CA,7
6062163,Lutes Mountain,46.13544,-64.90504,CA,4
6062563,Macamic,48.75018,-78.99962,CA,10
6063191,Mackenzie,55.33637,-123.09374,CA,2
6063429,Macklin,52.33344,-109.93484,CA,11
6063989,Madoc,44.50842,-77.47448,CA,8
6064180,Magog,45.26678,-72.14909,CA,10
6064202,Magrath,49.41668,-112.86856,CA,1
6064704,Malartic,48.13633,-78.12533,CA,10
6064969,Malvern,43.80938,-79.22344,CA,8
6065088,Mandeville,46.36677,-73.34915,CA,10
6065253,Manitouwadge,49.12152,-85.8403,CA,8
6065262,Maniwaki,46.38341,-75.96605,CA,10
6065306,Manning,56.92166,-117.63117,CA,1
6065347,Mannville,53.33345,-111.1684,CA,1
6065592,Maple Creek,49.90628,-109.48094,CA,11
6065685,Maple Ridge,53.50172,-113.36274,CA,1
6065686,Maple Ridge,49.21939,-122.60193,CA,2
6066350,Marieville,45.43338,-73.16585,CA,10
6066504,Markdale,44.3168,-80.64971,CA,8
6066513,Markham,43.86682,-79.2663,CA,8
6066548,Markland Wood,43.63347,-79.57569,CA,8
6067033,Martensville,52.28339,-106.66792,CA,11
6067472,Marystown,47.16663,-55.14829,CA,5
6067494,Mascouche,45.74965,-73.59956,CA,10
6067547,Maskinongé,46.2286,-73.01917,CA,10
6067747,Matagami,49.76326,-77.62735,CA,10
6067959,Mattawa,46.31681,-78.69957,CA,8
6068315,Mayerthorpe,53.95015,-115.13547,CA,1
6068416,Mayo,63.59274,-135.89984,CA,12
6071421,Meadow Lake,54.13348,-108.43471,CA,11
6071497,Meaford,44.60725,-80.61081,CA,8
6071618,Medicine Hat,50.03928,-110.67661,CA,1
6071876,Melfort,52.86673,-104.61768,CA,11
6071900,Melita,49.26811,-100.99669,CA,3
6071936,Melocheville,45.31726,-73.9371,CA,10
6071971,Melville,50.91671,-102.80099,CA,11
6072206,Mercier,45.31678,-73.74919,CA,10
6072350,Merritt,50.11225,-120.7942,CA,2
6072447,Métabetchouan,48.36679,-72.01583,CA,10
6072470,Metcalfe,45.2334,-75.46603,CA,8
6072482,Metchosin,48.38293,-123.53591,CA,2
6073289,Middleton,44.94284,-65.07022,CA,7
6073290,Middleton,45.71659,-63.17932,CA,7
6073363,Midland,44.7501,-79.88296,CA,8
6073561,Mildmay,44.043,-81.11889,CA,8
6073749,Millbrook,44.15012,-78.44954,CA,8
6074099,Millet,53.09415,-113.47056,CA,1
6074143,Milliken,43.82499,-79.29872,CA,8
6074377,Milton,43.51681,-79.88294,CA,8
6074409,Mimico,43.61616,-79.51269,CA,8
6074882,Minnedosa,50.24532,-99.84364,CA,3
